read_id,original_length,post_quality_length,post_adapter_length,final_length,quality_bases_removed,adapter_bases_removed,total_bases_removed,status
SRR13921545.223,100,100,100,100,0,0,0,retained
SRR13921545.224,100,100,100,100,0,0,0,retained
SRR13921545.225,100,100,100,100,0,0,0,retained
SRR13921545.226,100,100,100,100,0,0,0,retained
SRR13921545.227,100,100,100,100,0,0,0,retained
SRR13921545.228,100,100,100,100,0,0,0,retained
SRR13921545.229,100,100,100,100,0,0,0,retained
SRR13921545.230,100,100,100,100,0,0,0,retained
SRR13921545.231,100,100,100,100,0,0,0,retained
SRR13921545.232,100,100,100,100,0,0,0,retained
SRR13921545.233,100,100,100,100,0,0,0,retained
SRR13921545.234,100,100,100,100,0,0,0,retained
SRR13921545.235,100,100,100,100,0,0,0,retained
SRR13921545.236,100,100,100,100,0,0,0,retained
SRR13921545.237,100,100,100,100,0,0,0,retained
SRR13921545.238,100,100,100,100,0,0,0,retained
SRR13921545.239,100,100,100,100,0,0,0,retained
SRR13921545.240,100,100,100,100,0,0,0,retained
SRR13921545.241,100,100,100,100,0,0,0,retained
SRR13921545.242,100,100,100,100,0,0,0,retained
SRR13921545.243,100,100,100,100,0,0,0,retained
SRR13921545.244,100,100,100,100,0,0,0,retained
SRR13921545.245,100,100,100,100,0,0,0,retained
SRR13921545.246,100,100,100,100,0,0,0,retained
SRR13921545.247,100,100,100,100,0,0,0,retained
SRR13921545.248,100,100,100,100,0,0,0,retained
SRR13921545.249,100,100,100,100,0,0,0,retained
SRR13921545.250,100,100,100,100,0,0,0,retained
SRR13921545.251,100,100,100,100,0,0,0,retained
SRR13921545.252,100,100,100,100,0,0,0,retained
SRR13921545.253,100,100,100,100,0,0,0,retained
SRR13921545.254,100,100,100,100,0,0,0,retained
SRR13921545.255,100,100,100,100,0,0,0,retained
SRR13921545.256,100,100,100,100,0,0,0,retained
SRR13921545.257,100,100,100,100,0,0,0,retained
SRR13921545.258,100,100,100,100,0,0,0,retained
SRR13921545.259,100,100,100,100,0,0,0,retained
SRR13921545.260,100,99,99,99,1,0,1,retained
SRR13921545.261,100,100,100,100,0,0,0,retained
SRR13921545.262,100,100,100,100,0,0,0,retained
SRR13921545.263,100,100,100,100,0,0,0,retained
SRR13921545.264,100,100,100,100,0,0,0,retained
SRR13921545.265,100,100,100,100,0,0,0,retained
SRR13921545.266,100,100,100,100,0,0,0,retained
SRR13921545.267,100,100,100,100,0,0,0,retained
SRR13921545.268,100,100,100,100,0,0,0,retained
SRR13921545.269,100,100,100,100,0,0,0,retained
SRR13921545.270,100,100,100,100,0,0,0,retained
SRR13921545.271,100,100,100,100,0,0,0,retained
SRR13921545.272,100,100,100,100,0,0,0,retained
SRR13921545.273,100,100,100,100,0,0,0,retained
SRR13921545.274,100,99,99,99,1,0,1,retained
SRR13921545.275,100,100,100,100,0,0,0,retained
SRR13921545.276,100,100,100,100,0,0,0,retained
SRR13921545.277,100,100,100,100,0,0,0,retained
SRR13921545.278,100,100,100,100,0,0,0,retained
SRR13921545.279,100,100,100,100,0,0,0,retained
SRR13921545.280,100,100,100,100,0,0,0,retained
SRR13921545.281,100,100,100,100,0,0,0,retained
SRR13921545.282,100,100,100,100,0,0,0,retained
SRR13921545.283,100,100,100,100,0,0,0,retained
SRR13921545.284,100,100,100,100,0,0,0,retained
SRR13921545.285,100,100,100,100,0,0,0,retained
SRR13921545.286,100,100,100,100,0,0,0,retained
SRR13921545.287,100,100,100,100,0,0,0,retained
SRR13921545.288,100,100,100,100,0,0,0,retained
SRR13921545.289,100,100,100,100,0,0,0,retained
SRR13921545.290,100,100,100,100,0,0,0,retained
SRR13921545.291,100,100,100,100,0,0,0,retained
SRR13921545.292,100,100,100,100,0,0,0,retained
SRR13921545.293,100,100,100,100,0,0,0,retained
SRR13921545.294,100,100,100,100,0,0,0,retained
SRR13921545.295,100,100,100,100,0,0,0,retained
SRR13921545.296,100,100,100,100,0,0,0,retained
SRR13921545.297,100,100,100,100,0,0,0,retained
SRR13921545.298,100,100,100,100,0,0,0,retained
SRR13921545.299,100,100,100,100,0,0,0,retained
SRR13921545.300,100,100,100,100,0,0,0,retained
SRR13921545.301,100,100,100,100,0,0,0,retained
SRR13921545.302,100,100,100,100,0,0,0,retained
SRR13921545.303,100,100,100,100,0,0,0,retained
SRR13921545.304,100,100,100,100,0,0,0,retained
SRR13921545.305,100,100,100,100,0,0,0,retained
SRR13921545.306,100,100,100,100,0,0,0,retained
SRR13921545.307,100,100,100,100,0,0,0,retained
SRR13921545.308,100,100,100,100,0,0,0,retained
SRR13921545.309,100,100,74,74,0,26,26,discarded_too_short
SRR13921545.310,100,100,100,100,0,0,0,retained
SRR13921545.311,100,100,100,100,0,0,0,retained
SRR13921545.312,100,100,100,100,0,0,0,retained
SRR13921545.313,100,100,100,100,0,0,0,retained
SRR13921545.314,100,100,100,100,0,0,0,retained
SRR13921545.315,100,100,100,100,0,0,0,retained
SRR13921545.316,100,100,100,100,0,0,0,retained
SRR13921545.317,100,100,100,100,0,0,0,retained
SRR13921545.318,100,100,100,100,0,0,0,retained
SRR13921545.319,100,100,100,100,0,0,0,retained
SRR13921545.320,100,100,100,100,0,0,0,retained
SRR13921545.321,100,100,100,100,0,0,0,retained
SRR13921545.322,100,100,100,100,0,0,0,retained
SRR13921545.323,100,100,100,100,0,0,0,retained
SRR13921545.324,100,100,100,100,0,0,0,retained
SRR13921545.325,100,100,100,100,0,0,0,retained
SRR13921545.326,100,100,100,100,0,0,0,retained
SRR13921545.327,100,100,100,100,0,0,0,retained
SRR13921545.328,100,100,100,100,0,0,0,retained
SRR13921545.329,100,100,100,100,0,0,0,retained
SRR13921545.330,100,100,100,100,0,0,0,retained
SRR13921545.331,100,100,100,100,0,0,0,retained
SRR13921545.332,100,100,100,100,0,0,0,retained
SRR13921545.333,100,100,100,100,0,0,0,retained
SRR13921545.334,100,100,100,100,0,0,0,retained
SRR13921545.335,100,100,100,100,0,0,0,retained
SRR13921545.336,100,100,100,100,0,0,0,retained
SRR13921545.337,100,100,100,100,0,0,0,retained
SRR13921545.338,100,100,100,100,0,0,0,retained
SRR13921545.339,100,100,100,100,0,0,0,retained
SRR13921545.340,100,100,100,100,0,0,0,retained
SRR13921545.341,100,100,100,100,0,0,0,retained
SRR13921545.342,100,100,100,100,0,0,0,retained
SRR13921545.343,100,100,100,100,0,0,0,retained
SRR13921545.344,100,100,100,100,0,0,0,retained
SRR13921545.345,100,100,100,100,0,0,0,retained
SRR13921545.346,100,100,100,100,0,0,0,retained
SRR13921545.347,100,100,100,100,0,0,0,retained
SRR13921545.348,100,100,100,100,0,0,0,retained
SRR13921545.349,100,100,100,100,0,0,0,retained
SRR13921545.350,100,100,100,100,0,0,0,retained
SRR13921545.351,100,100,100,100,0,0,0,retained
SRR13921545.352,100,100,100,100,0,0,0,retained
SRR13921545.353,100,100,100,100,0,0,0,retained
SRR13921545.354,100,100,100,100,0,0,0,retained
SRR13921545.355,100,100,100,100,0,0,0,retained
SRR13921545.356,100,100,100,100,0,0,0,retained
SRR13921545.357,100,100,100,100,0,0,0,retained
SRR13921545.358,100,100,100,100,0,0,0,retained
SRR13921545.359,100,100,100,100,0,0,0,retained
SRR13921545.360,100,100,100,100,0,0,0,retained
SRR13921545.361,100,100,100,100,0,0,0,retained
SRR13921545.362,100,100,100,100,0,0,0,retained
SRR13921545.363,100,100,100,100,0,0,0,retained
SRR13921545.364,100,100,100,100,0,0,0,retained
SRR13921545.365,100,100,100,100,0,0,0,retained
SRR13921545.366,100,100,100,100,0,0,0,retained
SRR13921545.367,100,100,100,100,0,0,0,retained
SRR13921545.368,100,100,100,100,0,0,0,retained
SRR13921545.369,100,100,100,100,0,0,0,retained
SRR13921545.370,100,100,100,100,0,0,0,retained
SRR13921545.371,100,100,100,100,0,0,0,retained
SRR13921545.372,100,100,100,100,0,0,0,retained
SRR13921545.373,100,100,100,100,0,0,0,retained
SRR13921545.374,100,100,100,100,0,0,0,retained
SRR13921545.375,100,100,100,100,0,0,0,retained
SRR13921545.376,100,100,100,100,0,0,0,retained
SRR13921545.377,100,100,100,100,0,0,0,retained
SRR13921545.378,100,100,100,100,0,0,0,retained
SRR13921545.379,100,100,100,100,0,0,0,retained
SRR13921545.380,100,100,100,100,0,0,0,retained
SRR13921545.381,100,100,100,100,0,0,0,retained
SRR13921545.382,100,100,100,100,0,0,0,retained
SRR13921545.383,100,100,100,100,0,0,0,retained
SRR13921545.384,100,100,100,100,0,0,0,retained
SRR13921545.385,100,100,86,86,0,14,14,retained
SRR13921545.386,100,100,100,100,0,0,0,retained
SRR13921545.387,100,100,100,100,0,0,0,retained
SRR13921545.388,100,100,100,100,0,0,0,retained
SRR13921545.389,100,100,100,100,0,0,0,retained
SRR13921545.390,100,100,100,100,0,0,0,retained
SRR13921545.391,100,100,100,100,0,0,0,retained
SRR13921545.392,100,100,100,100,0,0,0,retained
SRR13921545.393,100,100,100,100,0,0,0,retained
SRR13921545.394,100,100,92,92,0,8,8,retained
SRR13921545.395,100,100,100,100,0,0,0,retained
SRR13921545.396,100,100,100,100,0,0,0,retained
SRR13921545.397,100,100,100,100,0,0,0,retained
SRR13921545.398,100,100,100,100,0,0,0,retained
SRR13921545.399,100,100,100,100,0,0,0,retained
SRR13921545.400,100,100,100,100,0,0,0,retained
SRR13921545.401,100,100,100,100,0,0,0,retained
SRR13921545.402,100,100,100,100,0,0,0,retained
SRR13921545.403,100,100,100,100,0,0,0,retained
SRR13921545.404,100,100,100,100,0,0,0,retained
SRR13921545.405,100,100,100,100,0,0,0,retained
SRR13921545.406,100,100,100,100,0,0,0,retained
SRR13921545.407,100,100,100,100,0,0,0,retained
SRR13921545.408,100,100,100,100,0,0,0,retained
SRR13921545.409,100,100,100,100,0,0,0,retained
SRR13921545.410,100,100,100,100,0,0,0,retained
SRR13921545.411,100,100,100,100,0,0,0,retained
SRR13921545.412,100,100,100,100,0,0,0,retained
SRR13921545.413,100,99,99,99,1,0,1,retained
SRR13921545.414,100,100,100,100,0,0,0,retained
SRR13921545.415,100,100,100,100,0,0,0,retained
SRR13921545.416,100,100,100,100,0,0,0,retained
SRR13921545.417,100,100,100,100,0,0,0,retained
SRR13921545.418,100,100,100,100,0,0,0,retained
SRR13921545.419,100,100,100,100,0,0,0,retained
SRR13921545.420,100,100,100,100,0,0,0,retained
SRR13921545.421,100,100,100,100,0,0,0,retained
SRR13921545.422,100,100,100,100,0,0,0,retained
SRR13921545.423,100,100,100,100,0,0,0,retained
SRR13921545.424,100,100,100,100,0,0,0,retained
SRR13921545.425,100,100,100,100,0,0,0,retained
SRR13921545.426,100,100,100,100,0,0,0,retained
SRR13921545.427,100,100,100,100,0,0,0,retained
SRR13921545.428,100,100,100,100,0,0,0,retained
SRR13921545.429,100,100,100,100,0,0,0,retained
SRR13921545.430,100,100,100,100,0,0,0,retained
SRR13921545.431,100,100,100,100,0,0,0,retained
SRR13921545.432,100,100,100,100,0,0,0,retained
SRR13921545.433,100,100,100,100,0,0,0,retained
SRR13921545.434,100,100,100,100,0,0,0,retained
SRR13921545.435,100,100,100,100,0,0,0,retained
SRR13921545.436,100,100,100,100,0,0,0,retained
SRR13921545.437,100,100,100,100,0,0,0,retained
SRR13921545.438,100,100,100,100,0,0,0,retained
SRR13921545.439,100,100,100,100,0,0,0,retained
SRR13921545.440,100,100,100,100,0,0,0,retained
SRR13921545.441,100,100,100,100,0,0,0,retained
SRR13921545.442,100,100,100,100,0,0,0,retained
SRR13921545.443,100,100,100,100,0,0,0,retained
SRR13921545.444,100,100,100,100,0,0,0,retained
SRR13921545.445,100,100,100,100,0,0,0,retained
SRR13921545.446,100,100,100,100,0,0,0,retained
SRR13921545.447,100,100,100,100,0,0,0,retained
SRR13921545.448,100,100,100,100,0,0,0,retained
SRR13921545.449,100,100,100,100,0,0,0,retained
SRR13921545.450,100,100,86,86,0,14,14,retained
SRR13921545.451,100,100,100,100,0,0,0,retained
SRR13921545.452,100,100,100,100,0,0,0,retained
SRR13921545.453,100,100,100,100,0,0,0,retained
SRR13921545.454,100,100,100,100,0,0,0,retained
SRR13921545.455,100,100,100,100,0,0,0,retained
SRR13921545.456,100,100,100,100,0,0,0,retained
SRR13921545.457,100,100,80,80,0,20,20,retained
SRR13921545.458,100,100,100,100,0,0,0,retained
SRR13921545.459,100,100,100,100,0,0,0,retained
SRR13921545.460,100,100,100,100,0,0,0,retained
SRR13921545.461,100,100,100,100,0,0,0,retained
SRR13921545.462,100,100,100,100,0,0,0,retained
SRR13921545.463,100,100,100,100,0,0,0,retained
SRR13921545.464,100,100,100,100,0,0,0,retained
SRR13921545.465,100,100,100,100,0,0,0,retained
SRR13921545.466,100,100,100,100,0,0,0,retained
SRR13921545.467,100,100,100,100,0,0,0,retained
SRR13921545.468,100,100,100,100,0,0,0,retained
SRR13921545.469,100,100,100,100,0,0,0,retained
SRR13921545.470,100,100,100,100,0,0,0,retained
SRR13921545.471,100,100,100,100,0,0,0,retained
SRR13921545.472,100,100,100,100,0,0,0,retained
SRR13921545.473,100,100,100,100,0,0,0,retained
SRR13921545.474,100,100,100,100,0,0,0,retained
SRR13921545.475,100,100,100,100,0,0,0,retained
SRR13921545.476,100,100,100,100,0,0,0,retained
SRR13921545.477,100,100,100,100,0,0,0,retained
SRR13921545.478,100,100,100,100,0,0,0,retained
SRR13921545.479,100,100,100,100,0,0,0,retained
SRR13921545.480,100,100,100,100,0,0,0,retained
SRR13921545.481,100,100,100,100,0,0,0,retained
SRR13921545.482,100,100,100,100,0,0,0,retained
SRR13921545.483,100,100,100,100,0,0,0,retained
SRR13921545.484,100,100,100,100,0,0,0,retained
SRR13921545.485,100,100,100,100,0,0,0,retained
SRR13921545.486,100,100,100,100,0,0,0,retained
SRR13921545.487,100,100,100,100,0,0,0,retained
SRR13921545.488,100,100,100,100,0,0,0,retained
SRR13921545.489,100,100,100,100,0,0,0,retained
SRR13921545.490,100,100,100,100,0,0,0,retained
SRR13921545.491,100,100,100,100,0,0,0,retained
SRR13921545.492,100,100,100,100,0,0,0,retained
SRR13921545.493,100,100,100,100,0,0,0,retained
SRR13921545.494,100,100,100,100,0,0,0,retained
SRR13921545.495,100,100,100,100,0,0,0,retained
SRR13921545.496,100,100,100,100,0,0,0,retained
SRR13921545.497,100,100,100,100,0,0,0,retained
SRR13921545.498,100,100,100,100,0,0,0,retained
SRR13921545.499,100,100,100,100,0,0,0,retained
SRR13921545.500,100,100,100,100,0,0,0,retained
SRR13921545.501,100,100,100,100,0,0,0,retained
SRR13921545.502,100,100,100,100,0,0,0,retained
SRR13921545.503,100,100,100,100,0,0,0,retained
SRR13921545.504,100,100,100,100,0,0,0,retained
SRR13921545.505,100,100,100,100,0,0,0,retained
SRR13921545.506,100,100,100,100,0,0,0,retained
SRR13921545.507,100,100,100,100,0,0,0,retained
SRR13921545.508,100,100,100,100,0,0,0,retained
SRR13921545.509,100,100,100,100,0,0,0,retained
SRR13921545.510,100,100,100,100,0,0,0,retained
SRR13921545.511,100,100,100,100,0,0,0,retained
SRR13921545.512,100,100,100,100,0,0,0,retained
SRR13921545.513,100,100,100,100,0,0,0,retained
SRR13921545.514,100,100,100,100,0,0,0,retained
SRR13921545.515,100,100,100,100,0,0,0,retained
SRR13921545.516,100,100,100,100,0,0,0,retained
SRR13921545.517,100,100,100,100,0,0,0,retained
SRR13921545.518,100,100,100,100,0,0,0,retained
SRR13921545.519,100,100,100,100,0,0,0,retained
SRR13921545.520,100,100,100,100,0,0,0,retained
SRR13921545.521,100,100,100,100,0,0,0,retained
SRR13921545.522,100,100,100,100,0,0,0,retained
SRR13921545.523,100,100,100,100,0,0,0,retained
SRR13921545.524,100,100,80,80,0,20,20,retained
SRR13921545.525,100,100,100,100,0,0,0,retained
SRR13921545.526,100,100,100,100,0,0,0,retained
SRR13921545.527,100,100,100,100,0,0,0,retained
SRR13921545.528,100,100,100,100,0,0,0,retained
SRR13921545.529,100,100,100,100,0,0,0,retained
